cittano,citta,vacara,hetu,jati
1,Somanassasahagataṁ diṭṭhigatasampayuttaṁ asaṁkhārikam,kāmāvacara,lobhamūla,akusala
2,Somanassasahagataṁ diṭṭhigatasampayuttaṁ sasaṁkhārikam,kāmāvacara,lobhamūla,akusala
3,Somanassasahagataṁ diṭṭhigatavippayuttaṁ asaṁkhārikam,kāmāvacara,lobhamūla,akusala
4,Somanassasahagataṁ diṭṭhigatavippayuttaṁ sasaṁkhārikam,kāmāvacara,lobhamūla,akusala
5,Upekkhāsahagataṁ diṭṭhigatasampayuttaṁ asaṁkhārikam,kāmāvacara,lobhamūla,akusala
6,Upekkhāsahagataṁ diṭṭhigatasampayuttaṁ sasaṁkhārikam,kāmāvacara,lobhamūla,akusala
7,Upekkhāsahagataṁ diṭṭhigatavippayuttaṁ asaṁkhārikam,kāmāvacara,lobhamūla,akusala
8,Upekkhāsahagataṁ diṭṭhigatavippayuttaṁ sasaṁkhārikam,kāmāvacara,lobhamūla,akusala
9,Domanassasahagataṁ paṭighasampayuttaṁ asaṁkhārikam,kāmāvacara,dosamūla,akusala
10,Domanassasahagataṁ paṭighasampayuttaṁ sasaṁkhārikam,kāmāvacara,dosamūla,akusala
11,Upekkhāsahagataṁ vicikicchāsampayuttam,kāmāvacara,mohamūla,akusala
12,Upekkhāsahagataṁ uddhaccasampayuttam,kāmāvacara,mohamūla,akusala
13,Upekkhāsahagataṁ cakkhuviññāṇaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
14,Upekkhāsahagataṁ sotaviññāṇaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
15,Upekkhāsahagataṁ ghānaviññāṇaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
16,Upekkhāsahagataṁ jivhāviññāṇaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
17,Dukkhasahagataṁ kāyaviññāṇaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
18,Upekkhāsahagataṁ sampaṭicchanacittaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
19,Upekkhāsahagataṁ santīraṇacittaṁ akusalavipākacittāṁ,kāmāvacara,ahetuka,akusalavipāka
20,Upekkhāsahagataṁ cakkhuviññāṇaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
21,Upekkhāsahagataṁ sotaviññāṇaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
22,Upekkhāsahagataṁ ghānaviññāṇaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
23,Upekkhāsahagataṁ jivhāviññāṇaṁ kusalavipākacittāṁ,kāmāvacara,ahetuka,kusalavipāka
